* MOFid-v1.NA.NA;4132543,,['*'],[],*,NA,,4132543
[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[OH]12[Tb]34[OH]5[Tb]62[OH]2[Tb]71[OH]4[Tb]14[OH]3[Tb]35[OH]6[Tb]2([OH]71)[OH]43 MOFid-v1.UNKNOWN.cat0;4132546,Zn.CYTYYSXXRQCAGV.QMKYBPDZANOJGF.MOFkey-v1.UNKNOWN,['[OH]12[Tb]34[OH]5[Tb]62[OH]2[Tb]71[OH]4[Tb]14[OH]3[Tb]35[OH]6[Tb]2([OH]71)[OH]43'],"['[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]']",[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[OH]12[Tb]34[OH]5[Tb]62[OH]2[Tb]71[OH]4[Tb]14[OH]3[Tb]35[OH]6[Tb]2([OH]71)[OH]43,UNKNOWN,0,4132546
[O-]C(=O)C12c3ccccc3C(c3c1cccc3)C1(c3c(C2c2ccccc12)cccc3)C(=O)[O-].[O-][C]=O.[OH2][Yb].[Yb] MOFid-v1.dia.cat0;4132600,Yb.SSODQXRGMVULMF.WMPDYCJCNCPTLQ.MOFkey-v1.dia,"['[OH2][Yb]', '[Yb]']","['[O-]C(=O)C12c3ccccc3C(c3c1cccc3)C1(c3c(C2c2ccccc12)cccc3)C(=O)[O-]', '[O-][C]=O']",[O-]C(=O)C12c3ccccc3C(c3c1cccc3)C1(c3c(C2c2ccccc12)cccc3)C(=O)[O-].[O-][C]=O.[OH2][Yb].[Yb],dia,0,4132600
* MOFid-v1.NA.NAno_mof;4132601,NA.MISSING_LINKERS.MOFkey-v1,[],[],*,NA,,4132601
* MOFid-v1.NA.NAno_mof;4132602,NA.MISSING_LINKERS.MOFkey-v1,[],[],*,NA,,4132602
* MOFid-v1.NA.NAno_mof;4132603,NA.MISSING_LINKERS.MOFkey-v1,[],[],*,NA,,4132603
[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[V]34[V]562[V]21[O]178945[V]3[V]38[V]467[V]9([V]21)[O]34.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43.[O][C]C[C]([O])C.[V]12[V]345[O]6789%102[V]21[O]1[V]%1146[V]821[V]157[O]3[V]%101[V]9%11 MOFid-v1.ERROR.cat0;4132612,VZr.HVCDAMXLLUJLQZ.OUEWZYXUSMEJCC.MOFkey-v1.ERROR,"['[O]12[V]34[V]562[V]21[O]178945[V]3[V]38[V]467[V]9([V]21)[O]34', '[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43', '[V]12[V]345[O]6789%102[V]21[O]1[V]%1146[V]821[V]157[O]3[V]%101[V]9%11']","['[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]', '[O][C]C[C]([O])C']",[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[V]34[V]562[V]21[O]178945[V]3[V]38[V]467[V]9([V]21)[O]34.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43.[O][C]C[C]([O])C.[V]12[V]345[O]6789%102[V]21[O]1[V]%1146[V]821[V]157[O]3[V]%101[V]9%11,ERROR,0,4132612
O1[V]23456[V]781[O]2[V]14[O]57[Hf]24573([O]681)[O]1[Hf]3689([O]%105[O]73[Hf]357%10([O]2[Hf]2%10%11%12([O]4[Hf]4%13%141([O]8[Hf]18([O]63)([O]24[O]%10%131)([O]5%11)[O]12[V]3456[O]%108[V]13[O]6[V]24%10O5)[O]12[V]3456[O]8%14[V]13[O]6[V]248O5)[O]12[V]3456[O]8%12[V]13[O]6[V]248O5)[O]12[V]3456[O]87[V]13(O5)[O]6[V]248)[O]12[V]3456[O]79[V]13(O5)[O]6[V]247.O1[V]234[V]5671[O]2[V]17[O]35[Hf]2357([O]461)[O]1[Hf]4689([O]%105[O]74[Hf]457%10([O]3[Hf]3%10%11%12([O]2[Hf]2%13%141([O]8[Hf]18([O]64)([O]3%13[O]%10%141)([O]5%11)[O]13[V]45[O]68[V]8%101[V]346([O]58)O%10)[O]13[V]45[O]62[V]281[V]346([O]52)O8)[O]12[V]34[O]5%12[V]681[V]235([O]46)O8)[O]12[V]34[O]57[V]671[V]235([O]46)O7)[O]12[V]34[O]59[V]671[V]235([O]46)O7.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.spn.cat0;4132614,VHf.QMKYBPDZANOJGF.MOFkey-v1.spn,"['O1[V]23456[V]781[O]2[V]14[O]57[Hf]24573([O]681)[O]1[Hf]3689([O]%105[O]73[Hf]357%10([O]2[Hf]2%10%11%12([O]4[Hf]4%13%141([O]8[Hf]18([O]63)([O]24[O]%10%131)([O]5%11)[O]12[V]3456[O]%108[V]13[O]6[V]24%10O5)[O]12[V]3456[O]8%14[V]13[O]6[V]248O5)[O]12[V]3456[O]8%12[V]13[O]6[V]248O5)[O]12[V]3456[O]87[V]13(O5)[O]6[V]248)[O]12[V]3456[O]79[V]13(O5)[O]6[V]247', 'O1[V]234[V]5671[O]2[V]17[O]35[Hf]2357([O]461)[O]1[Hf]4689([O]%105[O]74[Hf]457%10([O]3[Hf]3%10%11%12([O]2[Hf]2%13%141([O]8[Hf]18([O]64)([O]3%13[O]%10%141)([O]5%11)[O]13[V]45[O]68[V]8%101[V]346([O]58)O%10)[O]13[V]45[O]62[V]281[V]346([O]52)O8)[O]12[V]34[O]5%12[V]681[V]235([O]46)O8)[O]12[V]34[O]57[V]671[V]235([O]46)O7)[O]12[V]34[O]59[V]671[V]235([O]46)O7']",['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],O1[V]23456[V]781[O]2[V]14[O]57[Hf]24573([O]681)[O]1[Hf]3689([O]%105[O]73[Hf]357%10([O]2[Hf]2%10%11%12([O]4[Hf]4%13%141([O]8[Hf]18([O]63)([O]24[O]%10%131)([O]5%11)[O]12[V]3456[O]%108[V]13[O]6[V]24%10O5)[O]12[V]3456[O]8%14[V]13[O]6[V]248O5)[O]12[V]3456[O]8%12[V]13[O]6[V]248O5)[O]12[V]3456[O]87[V]13(O5)[O]6[V]248)[O]12[V]3456[O]79[V]13(O5)[O]6[V]247.O1[V]234[V]5671[O]2[V]17[O]35[Hf]2357([O]461)[O]1[Hf]4689([O]%105[O]74[Hf]457%10([O]3[Hf]3%10%11%12([O]2[Hf]2%13%141([O]8[Hf]18([O]64)([O]3%13[O]%10%141)([O]5%11)[O]13[V]45[O]68[V]8%101[V]346([O]58)O%10)[O]13[V]45[O]62[V]281[V]346([O]52)O8)[O]12[V]34[O]5%12[V]681[V]235([O]46)O8)[O]12[V]34[O]57[V]671[V]235([O]46)O7)[O]12[V]34[O]59[V]671[V]235([O]46)O7.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],spn,0,4132614
"[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%11%121[O]1%11[O]%126[Zr]6%21241([O]7%19[O]8%206)[O]12[O]4%21[Zr]67351([O]1%13[O]%146[Zr]%17%18%11%12241)[O]9%15[O]%10%167.[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%21%221[O]1%23[O]%246[Zr]6%25241([O]1%21[O]%226[Zr]235%17%181[O]7%13[O]8%142)[O]19[O]%10%25[Zr]2%11%12%23%241[O]%15%19[O]%16%202.[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%21%221[O]1%23[O]%246[Zr]6%25241([O]17[O]86[Zr]2%11%12%23%241[O]%13%19[O]%14%202)[O]1%21[O]%22%25[Zr]235%17%181[O]9%15[O]%10%162 MOFid-v1.fcu,UNKNOWN.cat0;4132633",Zr.KKEYFWRCBNTPAC.MOFkey-v1.fcu,"['[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%11%121[O]1%11[O]%126[Zr]6%21241([O]7%19[O]8%206)[O]12[O]4%21[Zr]67351([O]1%13[O]%146[Zr]%17%18%11%12241)[O]9%15[O]%10%167', '[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%21%221[O]1%23[O]%246[Zr]6%25241([O]1%21[O]%226[Zr]235%17%181[O]7%13[O]8%142)[O]19[O]%10%25[Zr]2%11%12%23%241[O]%15%19[O]%16%202', '[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%21%221[O]1%23[O]%246[Zr]6%25241([O]17[O]86[Zr]2%11%12%23%241[O]%13%19[O]%14%202)[O]1%21[O]%22%25[Zr]235%17%181[O]9%15[O]%10%162']",['[O-]C(=O)c1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%11%121[O]1%11[O]%126[Zr]6%21241([O]7%19[O]8%206)[O]12[O]4%21[Zr]67351([O]1%13[O]%146[Zr]%17%18%11%12241)[O]9%15[O]%10%167.[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%21%221[O]1%23[O]%246[Zr]6%25241([O]1%21[O]%226[Zr]235%17%181[O]7%13[O]8%142)[O]19[O]%10%25[Zr]2%11%12%23%241[O]%15%19[O]%16%202.[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%21%221[O]1%23[O]%246[Zr]6%25241([O]17[O]86[Zr]2%11%12%23%241[O]%13%19[O]%14%202)[O]1%21[O]%22%25[Zr]235%17%181[O]9%15[O]%10%162,"fcu,UNKNOWN",0,4132633
[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43 MOFid-v1.sky.cat0;4132634,Zr.NIJMZBWVSRWZFZ.MOFkey-v1.sky,['[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43'],['[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,sky,0,4132634
