cifname,mofid,mofkey,simples_nodes,simples_linkers,simples,topology,cat
7108950,[O-]C(=O)c1cccc(c1)P(=O)(c1cccc(c1)C(=O)O)c1cccc(c1)C(=O)[O-].[O][Mg]O[Mg][O] MOFid-v1.kgd.cat1,Mg.ZXTGTZJGSVWLPQ.MOFkey-v1.kgd,['[O][Mg]O[Mg][O]'],['[O-]C(=O)c1cccc(c1)P(=O)(c1cccc(c1)C(=O)O)c1cccc(c1)C(=O)[O-]'],[O-]C(=O)c1cccc(c1)P(=O)(c1cccc(c1)C(=O)O)c1cccc(c1)C(=O)[O-].[O][Mg]O[Mg][O],kgd,1.0
7109102,"CC1=NC=[C][N]1.CC1=N[C]C=N1.[Cd] MOFid-v1.stp,gie.cat0",Ni.JEWCOMKTMKFEEW.VRLIPUYDFBXWCH.MOFkey-v1.stp,['[Cd]'],"['CC1=NC=[C][N]1', 'CC1=N[C]C=N1']",CC1=NC=[C][N]1.CC1=N[C]C=N1.[Cd],"stp,gie",0.0
7109123,[Cu][Cu].[Cu][Cu][Cu][Cu].[O-]C(=O)c1ccc(cn1)C(=O)[O-].[OH2][Sm]([OH]1[Cu][OH]([Cu]1)[Sm]([OH2])([OH2])([OH2])[OH2])([OH2])([OH2])[OH2] MOFid-v1.hxl.cat0,CuSm.LVPMIMZXDYBCDF.MOFkey-v1.hxl,"['[Cu][Cu]', '[Cu][Cu][Cu][Cu]', '[OH2][Sm]([OH]1[Cu][OH]([Cu]1)[Sm]([OH2])([OH2])([OH2])[OH2])([OH2])([OH2])[OH2]']",['[O-]C(=O)c1ccc(cn1)C(=O)[O-]'],[Cu][Cu].[Cu][Cu][Cu][Cu].[O-]C(=O)c1ccc(cn1)C(=O)[O-].[OH2][Sm]([OH]1[Cu][OH]([Cu]1)[Sm]([OH2])([OH2])([OH2])[OH2])([OH2])([OH2])[OH2],hxl,0.0
7109528,[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-].[O-]C(=O)[C]C=[C]C(=O)[O-].[O][Cu][Cu]([O])[O].[O][Cu][Cu][O] MOFid-v1.kgm.cat2,Cu.GZJYHAYPVZNUJX.UHHNMTIETHWZQT.MOFkey-v1.kgm,"['[O][Cu][Cu]([O])[O]', '[O][Cu][Cu][O]']","['[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-]', '[O-]C(=O)[C]C=[C]C(=O)[O-]']",[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-].[O-]C(=O)[C]C=[C]C(=O)[O-].[O][Cu][Cu]([O])[O].[O][Cu][Cu][O],kgm,2.0
7109543,[Cu][Cu].[O-]C(=O)c1c(F)c(F)c(c(c1F)F)c1c(F)c(F)c(c(c1F)F)C(=O)[O-] MOFid-v1.sql.cat1,Cu.CEBWCJILGIWCOV.MOFkey-v1.sql,['[Cu][Cu]'],['[O-]C(=O)c1c(F)c(F)c(c(c1F)F)c1c(F)c(F)c(c(c1F)F)C(=O)[O-]'],[Cu][Cu].[O-]C(=O)c1c(F)c(F)c(c(c1F)F)c1c(F)c(F)c(c(c1F)F)C(=O)[O-],sql,1.0
7109545,Fc1c(c2c(F)c(F)c(c(c2F)F)C2=NN=N[N]2)c(F)c(c(c1F)C1=NN=N[N]1)F.O.[Cu] MOFid-v1.rna.cat0,Cu.JZBZWTKRUOOZPR.MOFkey-v1.rna,"['O', '[Cu]']",['Fc1c(c2c(F)c(F)c(c(c2F)F)C2=NN=N[N]2)c(F)c(c(c1F)C1=NN=N[N]1)F'],Fc1c(c2c(F)c(F)c(c(c2F)F)C2=NN=N[N]2)c(F)c(c(c1F)C1=NN=N[N]1)F.O.[Cu],rna,0.0
7109550,[O-]C(=O)c1ccc(cc1)c1cc(C(=O)O)c(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-].[Zn]O[Zn]O[Zn].n1ccc(cc1)c1ccncc1 MOFid-v1.tfz-d.cat0,Zn.MWVTWFVJZLCBMC.SXANZCFRYGHLMS.MOFkey-v1.tfz-d,['[Zn]O[Zn]O[Zn]'],"['[O-]C(=O)c1ccc(cc1)c1cc(C(=O)O)c(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-]', 'n1ccc(cc1)c1ccncc1']",[O-]C(=O)c1ccc(cc1)c1cc(C(=O)O)c(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-].[Zn]O[Zn]O[Zn].n1ccc(cc1)c1ccncc1,tfz-d,0.0
7109552,[Co].[N][N][N].[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-] MOFid-v1.rna.cat0,Co.BWRMNHXCEMNTJE.DUAJIKVIRGATIW.MOFkey-v1.rna,['[Co]'],"['[N][N][N]', '[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-]']",[Co].[N][N][N].[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-],rna,0.0
7109553,[N][N][N].[Ni].[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-] MOFid-v1.rna.cat0,Ni.BWRMNHXCEMNTJE.DUAJIKVIRGATIW.MOFkey-v1.rna,['[Ni]'],"['[N][N][N]', '[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-]']",[N][N][N].[Ni].[O-]C(=O)CN1[CH]C=C(C=C1)C(=O)[O-],rna,0.0
7109651,[Cd].[O-]C(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)[O-])C(=O)[O-] MOFid-v1.the.cat0,Tb.KVQMUHHSWICEIH.MOFkey-v1.the,['[Cd]'],['[O-]C(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)[O-])C(=O)[O-]'],[Cd].[O-]C(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)[O-])C(=O)[O-],the,0.0
7109712,[Dy].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.hxl.cat0,Dy.QMKYBPDZANOJGF.MOFkey-v1.hxl,['[Dy]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],[Dy].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],hxl,0.0
7109734,O.[CH2]CCn1ccnc1c1nccn1CCC(=O)[O-].[La].[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-].[O-][C]=O.[OH] MOFid-v1.sql.cat0,Bi.XQMFYBSHBCPMBJ.MOFkey-v1.sql,"['O', '[La]', '[OH]']","['[CH2]CCn1ccnc1c1nccn1CCC(=O)[O-]', '[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-]', '[O-][C]=O']",O.[CH2]CCn1ccnc1c1nccn1CCC(=O)[O-].[La].[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-].[O-][C]=O.[OH],sql,0.0
7109735,O.[Nd].[O-]C(=O)CCn1ccnc1C1=NC=C[N]1.[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-].[O-][C]=O.[OH] MOFid-v1.hcb.cat0,Bi.XQMFYBSHBCPMBJ.MOFkey-v1.hcb,"['O', '[Nd]', '[OH]']","['[O-]C(=O)CCn1ccnc1C1=NC=C[N]1', '[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-]', '[O-][C]=O']",O.[Nd].[O-]C(=O)CCn1ccnc1C1=NC=C[N]1.[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-].[O-][C]=O.[OH],hcb,0.0
7109736,O.[O-]C(=O)CC[CH2].[O-]C(=O)CCn1ccnc1C1=NC=C[N]1.[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-].[OH].[Pr] MOFid-v1.fcu.cat0,Yb.LCLDUNLSDOXXKJ.MOFkey-v1.fcu,"['O', '[OH]', '[Pr]']","['[O-]C(=O)CC[CH2]', '[O-]C(=O)CCn1ccnc1C1=NC=C[N]1', '[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-]']",O.[O-]C(=O)CC[CH2].[O-]C(=O)CCn1ccnc1C1=NC=C[N]1.[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)[O-].[OH].[Pr],fcu,0.0
7109961,C1=N[CH]N([N]1)CCCn1cncn1.[Cu].[O-]C(=O)c1cc(cc(c1C(=O)O)C(=O)[O-])N(=O)=O MOFid-v1.dia.cat0,Cu.KIRNHRJGEAFKPM.MNDPUKAFTWJHGX.MOFkey-v1.dia,['[Cu]'],"['C1=N[CH]N([N]1)CCCn1cncn1', '[O-]C(=O)c1cc(cc(c1C(=O)O)C(=O)[O-])N(=O)=O']",C1=N[CH]N([N]1)CCCn1cncn1.[Cu].[O-]C(=O)c1cc(cc(c1C(=O)O)C(=O)[O-])N(=O)=O,dia,0.0
7110030,C1CN2CCN1CC2.[O-]C(=O)[O-].[O-]C(=O)c1ccc2c(c1)cc(c(c2)[O])C(=O)[O-].[O][Zn].[Ti].[Zn] MOFid-v1.seh.cat0,TiZn.BVKZGUZCCUSVTD.IMNIMPAHZVJRPE.WQWRGICXFMATMH.MOFkey-v1.seh,"['[O][Zn]', '[Ti]', '[Zn]']","['C1CN2CCN1CC2', '[O-]C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)cc(c(c2)[O])C(=O)[O-]']",C1CN2CCN1CC2.[O-]C(=O)[O-].[O-]C(=O)c1ccc2c(c1)cc(c(c2)[O])C(=O)[O-].[O][Zn].[Ti].[Zn],seh,0.0
7110064,CN1[CH]C=C(C(=C1C)[O])[O].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH2][Zn][OH2].[Zn] MOFid-v1.sql.cat0,Zn.KKEYFWRCBNTPAC.LAYXJSROUJZEPO.MOFkey-v1.sql,"['[OH2][Zn][OH2]', '[Zn]']","['CN1[CH]C=C(C(=C1C)[O])[O]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']",CN1[CH]C=C(C(=C1C)[O])[O].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH2][Zn][OH2].[Zn],sql,0.0
7110065,CN1C=CC(=C([C]1C)[O])[O].[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-].[OH2][Zn].[Zn] MOFid-v1.sql.cat5,Zn.LAYXJSROUJZEPO.OYFRNYNHAZOYNF.MOFkey-v1.sql,"['[OH2][Zn]', '[Zn]']","['CN1C=CC(=C([C]1C)[O])[O]', '[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]']",CN1C=CC(=C([C]1C)[O])[O].[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-].[OH2][Zn].[Zn],sql,5.0
